FeatureIndex_1,FeatureIndex_2,FeatureIndex_3,FeatureIndex_4,FeatureIndex_5,FeatureIndex_6,FeatureIndex_7,FeatureIndex_8,FeatureIndex_9,FeatureIndex_10,FeatureIndex_11,FeatureIndex_12,FeatureIndex_13,FeatureIndex_14,FeatureIndex_15,FeatureIndex_16,FeatureIndex_17,FeatureIndex_18,FeatureIndex_19,FeatureIndex_20,FeatureIndex_21,FeatureIndex_22,FeatureIndex_23,FeatureIndex_24,FeatureIndex_25,FeatureIndex_26,FeatureIndex_27,FeatureIndex_28,FeatureIndex_29,FeatureIndex_30,FeatureIndex_31,FeatureIndex_32,FeatureIndex_33,FeatureIndex_34,FeatureIndex_35,FeatureIndex_36,FeatureIndex_37,FeatureIndex_38,FeatureIndex_39,FeatureIndex_40,FeatureIndex_41,FeatureIndex_42,FeatureIndex_43,FeatureIndex_44,FeatureIndex_45,FeatureIndex_46,FeatureIndex_47,FeatureIndex_48,FeatureIndex_49,FeatureIndex_50,FeatureIndex_51,FeatureIndex_52,FeatureIndex_53,FeatureIndex_54,FeatureIndex_55,FeatureIndex_56,FeatureIndex_57,FeatureIndex_58,FeatureIndex_59,FeatureIndex_60,FeatureIndex_61,FeatureIndex_62,FeatureIndex_63,FeatureIndex_64,TransientName
13,14,13,23,21,20,18,20,14,12,12,12,13,18,20,12,18,23,13,1,18,20,12,21,11,21,14,7,7,14,3,18,18,20,14,14,10,11,18,18,12,21,3,14,3,14,11,13,13,3,12,18,13,12,16,12,21,18,12,13,13,3,18,18,SN2003be
1,5,19,19,1,15,5,1,1,1,1,1,19,1,1,1,19,1,1,3,19,19,1,0,11,1,13,4,4,1,1,1,19,1,19,21,4,21,1,19,1,1,1,1,18,1,5,1,1,19,1,1,0,1,1,1,2,1,1,19,1,19,19,5,SNF20070930-008
6,9,9,9,9,6,9,9,6,0,0,6,6,6,6,9,0,21,5,3,19,19,6,9,6,21,13,4,4,1,5,9,9,19,20,21,4,13,10,0,9,9,0,15,12,5,12,0,9,6,6,9,6,6,6,9,9,9,9,6,6,6,6,6,SN2010ck
20,23,5,5,20,11,12,11,19,20,23,1,19,5,11,20,3,5,2,13,10,1,5,11,19,19,3,22,22,18,13,2,3,20,14,7,4,13,5,11,12,5,5,20,12,11,11,18,12,17,5,20,5,8,8,3,20,20,20,20,17,20,20,20,SDSS-IISN7954
10,18,12,11,11,18,18,20,11,11,11,18,12,11,11,20,12,18,3,19,5,11,23,23,2,13,3,10,7,20,12,13,3,11,18,3,21,3,11,12,14,5,3,23,20,13,5,20,4,13,18,3,11,3,23,20,7,3,11,3,13,18,20,12,SDSS-IISN13996
20,2,11,14,11,3,3,3,14,3,11,3,20,13,13,11,3,14,21,13,10,14,12,20,18,18,21,4,22,22,21,20,20,14,7,4,4,21,13,17,18,13,18,21,21,21,14,11,20,23,23,18,23,18,3,3,1,11,13,11,1,20,18,5,SN2019pof
18,20,3,23,13,14,14,12,13,18,13,11,18,3,3,13,21,21,20,18,18,23,23,14,13,18,21,4,4,21,11,13,12,3,3,7,4,18,14,5,13,13,14,11,11,20,18,14,23,14,20,5,12,18,18,11,11,12,3,16,20,11,18,14,SN2018hxe
6,6,6,6,6,6,6,9,9,19,19,3,19,0,19,9,0,19,19,19,21,18,19,6,6,19,5,4,4,18,20,9,6,19,18,10,4,5,20,6,6,0,18,18,1,5,1,0,6,0,0,5,1,0,1,6,9,9,6,0,6,6,6,9,SN2004gx
9,9,9,6,6,14,22,23,9,6,0,1,1,8,6,9,6,8,19,14,14,1,0,6,9,8,1,4,4,3,0,6,6,19,1,10,4,3,0,6,6,8,0,3,14,13,6,9,9,6,8,19,19,20,9,9,9,9,6,6,6,9,9,9,SN2019etc
19,19,5,11,11,5,11,5,11,19,2,19,19,19,19,11,10,21,5,2,5,11,5,19,11,5,5,4,4,11,5,5,20,19,11,21,4,11,5,5,23,5,15,2,2,19,5,19,5,5,5,5,20,19,5,11,11,5,5,5,19,11,5,11,SDSS-IISN19505
